id,薪资,学历要求,工作经验
12k-24k,本科,3-5年,3313156
25k-50k,本科,3-5年,3530866
12k-24k,硕士,1-3年,3104381
15k-25k,本科,3-5年,4870583
30k-47k,博士,3-5年,4084743
30k-50k,本科,3-5年,4978809
30k-60k,本科,3-5年,3895664
25k-50k,本科,3-5年,4764354
30k-60k,硕士,3-5年,4975873
20k-40k,本科,不限,5197930
30k-45k,本科,3-5年,4774239
16k-30k,本科,3-5年,4293748
10k-20k,本科,3-5年,4431989
10k-20k,本科,3-5年,4893491
8k-10k,硕士,1年以下,4952120
25k-50k,硕士,5-10年,4943651
30k-60k,本科,不限,4942392
25k-50k,硕士,不限,3813295
25k-35k,硕士,3-5年,5196193
30k-50k,硕士,3-5年,4851227
20k-40k,本科,3-5年,5119102
30k-60k,本科,3-5年,3895661
25k-40k,本科,3-5年,4280482
20k-40k,硕士,不限,2531340
15k-30k,本科,1-3年,5017549
25k-50k,本科,不限,5013250
25k-50k,本科,3-5年,5159780
20k-40k,硕士,3-5年,4988241
20k-30k,本科,5-10年,4709122
15k-30k,本科,1-3年,4677657
18k-30k,本科,3-5年,4429951
8k-12k,本科,不限,5071862
20k-35k,本科,1-3年,4320389
20k-40k,本科,3-5年,5168198
16k-32k,本科,1-3年,4116160
20k-40k,硕士,1-3年,3462961
30k-60k,不限,3-5年,4434989
25k-50k,本科,3-5年,4964538
20k-40k,本科,1-3年,4951546
15k-30k,硕士,3-5年,2791138
15k-30k,本科,3-5年,4571761
20k-40k,硕士,不限,4231432
25k-50k,本科,不限,5013278
20k-35k,本科,1-3年,4599352
30k-50k,本科,3-5年,4873326
25k-50k,本科,3-5年,4838185
20k-40k,硕士,3-5年,4848925
30k-45k,本科,3-5年,2832244
14k-25k,本科,不限,5115672
18k-30k,硕士,1-3年,3626897
20k-35k,硕士,1-3年,4380943
20k-40k,不限,1-3年,4434615
15k-30k,本科,不限,5013178
30k-60k,本科,3-5年,5198358
20k-30k,本科,1-3年,5076714
15k-30k,不限,不限,4452831
20k-35k,本科,3-5年,4397738
26k-52k,本科,3-5年,5163121
30k-50k,硕士,1-3年,4963539
25k-50k,本科,1-3年,5129324
15k-25k,硕士,1-3年,4470406
20k-40k,本科,1-3年,3291804
25k-35k,本科,3-5年,5156338
30k-60k,本科,3-5年,4877587
10k-20k,本科,1-3年,4785994
35K-60K,本科,不限,4478638
30k-60k,本科,3-5年,4877587
15k-25k,硕士,3-5年,2903907
25k-50k,硕士,3-5年,4099697
20k-40k,本科,3-5年,4601247
15k-30k,本科,3-5年,4900592
15k-25k,本科,3-5年,4115944
25k-45k,硕士,3-5年,5086274
30k-60k,本科,1-3年,4539113
30k-60k,本科,1-3年,4531908
20k-40k,本科,3-5年,4683180
10k-20k,不限,不限,4927249
25k-50k,本科,1年以下,5198156
15k-30k,本科,3-5年,5191693
18k-30k,不限,不限,4658777
8k-16k,本科,不限,4941006
15k-25k,本科,3-5年,4948012
50k-100k,本科,5-10年,4798340
20k-40k,本科,3-5年,5096706
13k-26k,本科,1-3年,4776884
35k-50k,本科,5-10年,3266963
8k-15k,本科,1-3年,3643851
20k-40k,不限,3-5年,3489864
35k-55k,硕士,5-10年,4694026
20k-40k,硕士,1-3年,4434916
90k-100k,硕士,3-5年,5193233
15k-30k,本科,3-5年,5191749
15k-20k,硕士,应届毕业生,5151553
15k-25k,本科,不限,4984643
20k-40k,本科,3-5年,5126583
15k-30k,硕士,3-5年,5127697
8k-15k,本科,不限,4252209
4k-8k,本科,不限,2785438
18k-36k,本科,1-3年,4782917
20k-40k,本科,3-5年,3735760
30k-50k,本科,3-5年,3983214
20k-40k,硕士,3-5年,2773583
18k-36k,硕士,3-5年,5159314
50k-100k,硕士,5-10年,4373502
25K-40K,硕士,3-5年,4577477
40k-80k,硕士,5-10年,4893648
16k-32k,硕士,应届毕业生,3594133
15k-25k,本科,1-3年,5084166
35k-60k,本科,1年以下,4335720
25k-50k,硕士,3-5年,4954371
30k-40k,本科,3-5年,3721536
18k-36k,硕士,3-5年,5074970
25k-50k,本科,不限,4108350
30k-50k,本科,3-5年,5094731
25k-50k,本科,3-5年,5148219
20k-40k,硕士,3-5年,4307380
20k-40k,本科,3-5年,5147384
30K-50K,本科,不限,4115873
15k-30k,本科,不限,5197687
10k-20k,本科,3-5年,5184984
10k-20k,本科,3-5年,4450462
3k-4k,硕士,应届毕业生,3104399
20k-40k,硕士,1-3年,3839328
20k-35k,本科,3-5年,4010728
25k-40k,硕士,1-3年,5057827
22k-35k,硕士,不限,4096610
15k-29k,本科,1-3年,4956520
25k-50k,本科,不限,3769756
20k-40k,硕士,3-5年,4142676
25k-35k,硕士,1-3年,5178565
15k-25k,本科,3-5年,4431599
20k-40k,本科,1-3年,5119363
12k-24k,本科,3-5年,5170995
25k-50k,硕士,不限,5097000
20k-40k,硕士,不限,4722416
20k-30k,硕士,不限,4384652
15k-30k,本科,1-3年,4304829
15k-30k,本科,1-3年,3278286
15k-30k,本科,3-5年,4130024
25k-35k,本科,3-5年,5073101
25K-45K,本科,3-5年,4426783
18k-20k,本科,应届毕业生,4754263
13k-26k,硕士,应届毕业生,5065441
25k-50k,本科,1-3年,4419340
15k-20k,本科,应届毕业生,5175500
20k-40k,博士,不限,4472663
25k-50k,本科,3-5年,4998138
15k-30k,本科,不限,5117734
20k-40k,本科,3-5年,3659289
14k-28k,本科,3-5年,5074951
25k-45k,本科,3-5年,5017124
5k-8k,本科,应届毕业生,2951209
3k-4k,本科,应届毕业生,4849884
15k-20k,硕士,应届毕业生,4096580
45k-60k,本科,5-10年,3266909
15k-30k,本科,3-5年,4143576
15k-28k,本科,应届毕业生,4972551
12k-24k,本科,不限,4667471
30k-60k,硕士,3-5年,4895858
35k-70k,硕士,不限,4031947
15k-25k,硕士,1-3年,5192870
36k-70k,本科,不限,5120191
25k-45k,硕士,3-5年,4931860
3k-6k,本科,不限,5156461
30k-50k,本科,3-5年,5124952
25k-50k,本科,3-5年,4060760
15k-20k,硕士,1-3年,4485195
25k-50k,硕士,3-5年,4834140
18k-36k,不限,不限,2788784
20k-40k,本科,3-5年,5188614
4k-8k,不限,不限,4692937
20k-40k,硕士,3-5年,3560522
10k-20k,不限,不限,5078731
25k-50k,本科,1-3年,4647763
18k-30k,大专,3-5年,4926393
20k-25k,本科,3-5年,4638165
25k-45k,硕士,3-5年,3824726
40k-80k,本科,3-5年,5010229
15k-25k,本科,3-5年,5136533
20k-35k,本科,1-3年,5023686
20k-40k,本科,不限,4711020
15k-30k,硕士,不限,4865776
20k-40k,本科,3-5年,5040054
20k-40k,本科,5-10年,2618026
15k-30k,本科,1-3年,5039490
18k-35k,硕士,不限,4508349
15k-30k,本科,1-3年,5152471
20k-40k,本科,3-5年,5096869
30k-58k,本科,3-5年,4056596
25k-50k,硕士,1-3年,5069720
20k-40k,本科,3-5年,4188784
15k-30k,本科,3-5年,4648804
15k-30k,本科,不限,5055941
20k-40k,本科,3-5年,5017163
3k-4k,本科,不限,4919507
20k-30k,本科,3-5年,4095198
30k-60k,本科,3-5年,4383951
15k-25k,硕士,1-3年,4213317
25k-50k,本科,1-3年,3678075
18k-36k,硕士,3-5年,2735586
15k-25k,本科,5-10年,4321089
3k-6k,本科,应届毕业生,5167427
8k-15k,本科,1-3年,4709932
15k-30k,硕士,3-5年,5159349
20k-40k,本科,3-5年,4211492
30k-45k,硕士,3-5年,5178559
15k-30k,硕士,不限,4626127
15K-30K,本科,不限,4101297
25k-50k,本科,3-5年,2113031
20k-35k,本科,3-5年,5035802
20k-40k,本科,1-3年,4885801
20k-40k,本科,3-5年,3535535
30k-45k,硕士,3-5年,3993692
35k-50k,硕士,3-5年,3983021
20k-35k,本科,1-3年,4754888
15k-30k,硕士,不限,5040110
25k-50k,本科,1-3年,4885362
20k-40k,本科,3-5年,3905994
15k-30k,本科,3-5年,5116049
20k-40k,不限,不限,2521433
15k-25k,硕士,不限,3983009
25k-35k,本科,3-5年,5073034
25k-50k,本科,3-5年,5121242
30k-50k,硕士,1-3年,4963858
30k-60k,博士,5-10年,2735575
25k-45k,本科,3-5年,5011912
15k-30k,本科,1-3年,3354511
30k-40k,硕士,3-5年,4978422
30k-60k,本科,5-10年,4782898
3k-5k,本科,应届毕业生,4525291
3k-5k,硕士,不限,5130594
25k-50k,硕士,3-5年,2832353
15k-25k,本科,3-5年,5143664
20k-40k,本科,5-10年,3882398
10k-20k,本科,1-3年,4554194
25k-40k,硕士,3-5年,4971988
3k-6k,本科,应届毕业生,5018236
20k-40k,博士,不限,3862685
20k-25k,硕士,1-3年,5115416
15k-30k,硕士,1-3年,5153457
40k-60k,本科,3-5年,5195887
25k-40k,本科,5-10年,4870696
22k-44k,本科,1-3年,4900542
15k-30k,本科,1-3年,4049679
15k-20k,硕士,不限,5044909
30k-45k,硕士,5-10年,4031372
15k-25k,硕士,不限,4362973
15k-30k,硕士,1-3年,3747910
30k-60k,本科,3-5年,4879689
20k-30k,本科,3-5年,4799681
15k-30k,硕士,1-3年,4758904
26k-52k,本科,3-5年,5163111
40k-60k,本科,5-10年,4750909
15K-30K,硕士,不限,3999957
30k-60k,本科,3-5年,5049694
15k-30k,硕士,3-5年,3746895
20k-35k,本科,3-5年,4112072
20k-40k,硕士,不限,2521423
30k-60k,硕士,3-5年,4571857
20k-40k,本科,5-10年,5111022
20k-40k,本科,不限,4729556
15k-30k,硕士,不限,4095463
20k-40k,本科,不限,4101147
20k-40k,硕士,不限,4449478
25k-50k,硕士,5-10年,4996058
25k-50k,本科,3-5年,5121302
15k-30k,本科,1-3年,5169559
25k-50k,本科,不限,4181381
15k-30k,本科,1-3年,5152887
25k-50k,本科,3-5年,4778254
30k-60k,硕士,5-10年,5162310
25k-50k,本科,1-3年,4563728
20k-40k,本科,3-5年,4661633
20k-40k,硕士,3-5年,4883670
17k-34k,本科,1-3年,4259516
15k-30k,博士,不限,3813027
