id,薪资,学历要求,工作经验
10k-20k,本科,1-3年,3771650
15k-18k,本科,5-10年,5194527
20k-30k,本科,5-10年,5197851
25k-40k,本科,3-5年,5046551
15k-25k,本科,3-5年,4927642
7k-14k,本科,1-3年,4717978
15k-25k,本科,3-5年,5141601
10k-20k,本科,3-5年,2905991
20k-30k,本科,3-5年,3877562
10k-20k,本科,1-3年,4354534
18k-30k,本科,5-10年,3924534
15k-25k,大专,3-5年,3616377
20k-40k,大专,3-5年,4365597
20k-40k,本科,不限,4671750
25k-35k,大专,5-10年,4719627
15k-25k,本科,5-10年,5117248
7k-10k,本科,3-5年,4167894
25k-45k,本科,5-10年,4593498
12k-24k,本科,3-5年,3945119
20k-30k,大专,5-10年,4746761
15k-25k,本科,不限,5154652
15k-30k,本科,3-5年,3278139
25k-35k,本科,5-10年,4854189
15k-25k,大专,3-5年,4691416
8k-16k,本科,不限,3106021
15k-30k,本科,3-5年,5126196
12k-24k,本科,1-3年,3553545
30k-60k,本科,3-5年,5096497
5k-10k,不限,1-3年,1815703
10k-20k,本科,应届毕业生,5111798
15k-30k,本科,5-10年,4743386
15k-25k,本科,3-5年,4562525
15k-30k,本科,3-5年,4026235
17k-34k,本科,3-5年,4089744
15k-20k,本科,3-5年,4054898
10k-18k,本科,3-5年,4568869
10k-15k,本科,不限,3900036
20k-30k,本科,不限,4668314
15k-30k,不限,3-5年,2412956
15k-25k,本科,3-5年,4909762
15k-20k,大专,3-5年,4525883
25k-35k,本科,5-10年,4879799
20k-40k,本科,不限,4576688
15k-30k,本科,3-5年,3883093
25k-35k,大专,3-5年,3155028
25k-50k,本科,3-5年,5052499
30k-50k,本科,3-5年,5112138
10k-17k,本科,1-3年,5159508
18k-30k,本科,不限,4121983
10k-20k,本科,1-3年,4993791
20k-35k,本科,5-10年,4653656
25k-40k,大专,5-10年,4487192
8k-10k,大专,1-3年,5151184
15k-30k,本科,5-10年,4291619
15k-30k,本科,不限,5137547
15k-30k,本科,3-5年,5138619
15k-30k,本科,3-5年,4920568
25k-40k,本科,3-5年,5058014
18k-28k,本科,5-10年,4103448
15k-25k,本科,3-5年,3770048
20k-35k,本科,3-5年,2693973
20k-30k,本科,5-10年,3897849
15k-25k,大专,3-5年,5140791
20k-40k,本科,不限,4632913
15k-20k,大专,3-5年,5134448
15k-23k,本科,3-5年,5178842
15k-30k,大专,不限,2256043
20k-30k,本科,3-5年,3511395
13k-25k,本科,3-5年,5154304
20k-40k,大专,5-10年,5054798
15k-25k,本科,3-5年,4938734
10k-20k,本科,3-5年,5184473
15k-30k,本科,3-5年,5025445
14k-28k,本科,3-5年,4454951
18k-35k,本科,不限,4935819
15k-30k,本科,不限,4182566
4k-7k,本科,1-3年,534703
30k-50k,大专,3-5年,4899949
30k-50k,本科,3-5年,4899923
15k-25k,本科,3-5年,5103526
10k-20k,本科,3-5年,1602764
20k-40k,不限,1-3年,5066917
15k-30k,本科,1-3年,4938410
20k-40k,本科,3-5年,1365802
20k-35k,本科,3-5年,3153208
20k-30k,本科,1-3年,5110912
10k-20k,本科,1-3年,4845957
15k-30k,大专,3-5年,5104912
25k-40k,本科,3-5年,4317358
18k-36k,本科,1-3年,3770568
15k-30k,本科,3-5年,4606596
15k-25k,本科,3-5年,5145738
20k-35k,本科,3-5年,3631946
20k-40k,本科,3-5年,4030036
10k-20k,大专,1-3年,5115714
20k-40k,本科,1-3年,4096863
25k-35k,本科,3-5年,5048120
25k-40k,本科,3-5年,5167419
10k-20k,本科,不限,2695815
20k-40k,本科,3-5年,4993569
10k-20k,本科,1-3年,5129549
15k-30k,本科,3-5年,4411310
12k-24k,本科,1-3年,2689856
20k-40k,本科,3-5年,4669464
10k-20k,本科,1-3年,4845972
12k-24k,本科,不限,1410876
15k-25k,大专,3-5年,4462598
6k-10k,本科,1-3年,5185987
25k-40k,本科,3-5年,4899934
18k-35k,本科,5-10年,4307672
15k-30k,本科,不限,5091138
25k-35k,本科,5-10年,5175298
10k-15k,本科,不限,3947749
25k-45k,本科,3-5年,5192660
15k-25k,本科,3-5年,4807668
15k-20k,本科,3-5年,4717244
15k-30k,本科,1-3年,4803385
12k-18k,本科,3-5年,4156654
14k-21k,本科,3-5年,5177336
20k-40k,本科,3-5年,4653782
20k-30k,本科,3-5年,5159427
30k-42k,本科,3-5年,3152618
20k-35k,本科,3-5年,4902938
20k-30k,本科,3-5年,4933569
20k-35k,本科,3-5年,4354338
15k-30k,本科,3-5年,3908758
10k-20k,本科,1-3年,4034070
15k-25k,本科,1-3年,2335941
10k-20k,本科,1-3年,4278676
10k-20k,大专,1-3年,4869026
12k-20k,本科,3-5年,4794561
8k-15k,本科,3-5年,5091597
15k-30k,本科,3-5年,5190618
8k-15k,本科,1-3年,5099617
20k-40k,本科,3-5年,5089356
20k-30k,本科,3-5年,4961780
24k-28k,本科,5-10年,5072863
20k-30k,本科,5-10年,4223960
8k-14k,大专,1-3年,4241619
15k-30k,不限,3-5年,5104422
12k-20k,本科,1-3年,5153914
10k-15k,本科,3-5年,2959192
15k-30k,本科,3-5年,4254546
15k-25k,本科,3-5年,4908228
15k-25k,本科,3-5年,5057338
15k-30k,本科,3-5年,5142801
30k-50k,本科,3-5年,5092881
15k-25k,本科,5-10年,5191724
20k-40k,本科,1-3年,5119049
8k-15k,本科,1-3年,5129830
18k-25k,本科,3-5年,2775444
5k-6k,本科,1-3年,4861384
20k-35k,本科,3-5年,5120592
8k-15k,本科,1-3年,4566139
18k-28k,本科,5-10年,5007139
25k-35k,本科,不限,5180212
12k-24k,本科,3-5年,4967035
23k-45k,本科,3-5年,5159425
15k-30k,大专,3-5年,4983925
4k-8k,不限,不限,2683848
15k-25k,本科,3-5年,4917574
15k-30k,本科,5-10年,4699934
10k-20k,本科,3-5年,3952775
25k-50k,本科,3-5年,4801974
15k-25k,本科,3-5年,4990418
30k-40k,本科,3-5年,5100440
20k-40k,本科,5-10年,4837726
22k-35k,本科,3-5年,4046705
15k-25k,本科,3-5年,4206793
15k-30k,本科,3-5年,4677323
15k-25k,本科,3-5年,4072547
15K-30K,本科,3-5年,4674490
25k-35k,本科,5-10年,4260238
15k-30k,本科,1-3年,4653443
12k-18k,大专,5-10年,3806861
15k-30k,本科,3-5年,5132334
20k-40k,本科,3-5年,4119755
18k-35k,本科,3-5年,3232030
20k-40k,本科,不限,3166930
15k-30k,本科,3-5年,3910663
15k-30k,本科,3-5年,4766918
15k-30k,本科,5-10年,4195859
10k-20k,本科,5-10年,4195323
25k-45k,本科,3-5年,5000130
15k-25k,本科,3-5年,5093052
20k-40k,本科,5-10年,4860454
18k-30k,本科,3-5年,4659737
15k-25k,本科,1-3年,5193213
20k-40k,本科,1-3年,5119522
15k-30k,本科,3-5年,5115641
15k-30k,本科,5-10年,5168789
15k-20k,本科,3-5年,4506296
15k-30k,本科,3-5年,4711929
10k-20k,本科,1-3年,4845869
25k-45k,本科,3-5年,4740344
13k-26k,本科,3-5年,4389451
