id,薪资,学历要求,工作经验
8k-15k,大专,1-3年,4957289
15k-30k,本科,3-5年,5194531
5k-8k,大专,1-3年,4955742
30k-60k,本科,3-5年,5121713
10k-20k,本科,3-5年,4880564
15k-30k,本科,3-5年,4374871
30k-50k,本科,5-10年,5007882
6k-12k,大专,1-3年,4298285
30k-50k,本科,3-5年,4658161
8k-15k,本科,3-5年,5065972
20k-30k,本科,3-5年,4385584
25k-40k,本科,5-10年,5087426
30k-60k,本科,3-5年,5121638
15k-25k,本科,1-3年,3293327
7k-12k,大专,1-3年,5035902
10k-20k,本科,1-3年,3957323
8k-15k,本科,3-5年,4887887
30k-50k,本科,5-10年,5071020
25k-40k,本科,3-5年,4997244
20k-30k,本科,3-5年,5087573
20k-30k,大专,5-10年,4810609
30k-45k,本科,3-5年,5155255
18k-25k,本科,5-10年,5032807
15k-25k,本科,1-3年,4925889
20k-40k,本科,3-5年,5071204
10k-15k,本科,应届毕业生,5087584
25k-50k,本科,3-5年,5132839
7k-13k,本科,3-5年,4461330
15k-30k,本科,1-3年,4609200
20k-40k,本科,不限,4416651
10k-20k,不限,3-5年,4022451
15k-25k,本科,3-5年,5134364
8k-15k,本科,3-5年,4076593
12k-24k,本科,1-3年,4109364
15k-30k,本科,不限,953231
20k-35k,本科,5-10年,5149955
6k-10k,大专,1-3年,5200491
10k-20k,本科,1-3年,4978897
20k-30k,本科,5-10年,5160516
10k-15k,大专,3-5年,5131831
10k-20k,本科,1-3年,5166413
30k-60k,本科,3-5年,5121708
8k-15k,大专,3-5年,4883293
20k-40k,本科,3-5年,4109778
8k-12k,本科,5-10年,5139446
10k-16k,本科,3-5年,4008839
10k-20k,本科,3-5年,4533580
15k-25k,本科,1-3年,5145636
7k-14k,本科,1-3年,3682640
16k-26k,本科,3-5年,5181745
20k-40k,本科,1-3年,5119038
10k-20k,大专,3-5年,5108428
9k-18k,不限,1-3年,4092132
10k-16k,本科,1-3年,5201340
15k-30k,本科,3-5年,4504896
10k-15k,本科,3-5年,5200943
15k-30k,本科,不限,4992908
8k-15k,不限,1-3年,4982763
20k-40k,本科,3-5年,5037332
8k-15k,本科,1-3年,5199912
25k-50k,本科,5-10年,5078015
8k-13k,本科,不限,3992103
10k-15k,大专,1-3年,5110166
9k-16k,本科,1-3年,4939217
25k-30k,本科,5-10年,5199407
25k-50k,本科,3-5年,5150104
6k-10k,本科,1-3年,5200638
10k-20k,本科,1-3年,3803446
15k-30k,本科,3-5年,4660493
20k-40k,本科,3-5年,4949240
10k-18k,本科,1-3年,4903732
15k-30k,本科,1-3年,4085834
10k-20k,本科,1-3年,4876402
12k-18k,本科,1-3年,5200850
8k-16k,本科,1年以下,4448460
10k-20k,大专,不限,5199415
15k-30k,本科,3-5年,5025000
12k-24k,本科,不限,3631308
15k-25k,本科,3-5年,4953081
20k-40k,本科,1-3年,4787206
20k-30k,本科,5-10年,1953699
7k-10k,本科,3-5年,5171127
15k-30k,本科,3-5年,4967994
16k-32k,本科,3-5年,5010649
10k-20k,大专,3-5年,5113112
30k-50k,本科,3-5年,4775308
15k-30k,本科,3-5年,4074896
15k-25k,本科,3-5年,3741714
5k-10k,本科,1-3年,3983811
10k-20k,本科,1-3年,4904408
18k-28k,本科,3-5年,4688155
8k-16k,本科,不限,4435310
10k-20k,本科,3-5年,3559639
4K-8K,本科,不限,4178515
6k-12k,本科,1-3年,4624398
8k-16k,本科,3-5年,5034818
10k-20k,大专,5-10年,4311038
5k-10k,大专,3-5年,5144849
30k-60k,硕士,1-3年,3552457
7k-14k,大专,3-5年,4541756
15k-30k,本科,3-5年,5089666
25k-50k,本科,5-10年,4961168
20k-40k,本科,3-5年,4748825
14k-21k,不限,1-3年,5043720
8k-10k,本科,1-3年,5172358
15k-30k,本科,5-10年,4646052
6k-12k,本科,1-3年,5068583
10k-13k,本科,3-5年,4017992
20k-40k,本科,5-10年,5199879
10k-20k,本科,不限,4982282
12k-22k,本科,1-3年,4612544
10k-20k,本科,3-5年,3699159
18k-23k,本科,1-3年,5141749
