id,薪资,学历要求,工作经验
10k-20k,本科,1-3年,3813767
25k-40k,本科,不限,4913430
15k-25k,本科,1-3年,3283130
10k-15k,大专,1-3年,3431632
22k-35k,本科,5-10年,5041767
10k-15k,本科,1-3年,4734400
10k-20k,本科,3-5年,5134624
20k-40k,本科,3-5年,4120025
50k-80k,硕士,5-10年,5146143
25k-40k,本科,5-10年,5043738
13k-26k,本科,3-5年,5145723
35k-70k,不限,5-10年,5020396
15k-30k,本科,3-5年,4119503
15k-25k,本科,5-10年,5061195
15k-30k,本科,3-5年,5032270
20k-30k,硕士,3-5年,5082058
6k-10k,硕士,1-3年,5086748
10k-20k,本科,3-5年,3764996
10k-20k,本科,3-5年,4787259
20k-35k,本科,5-10年,3775608
15k-25k,本科,3-5年,5114518
10k-15k,本科,1-3年,5194877
20k-30k,本科,3-5年,4913759
15k-30k,本科,3-5年,5147443
30k-60k,本科,3-5年,3532135
6k-10k,硕士,3-5年,5083410
20k-40k,本科,3-5年,4411757
25k-50k,本科,3-5年,3600787
8k-12k,不限,应届毕业生,5068938
12k-20k,本科,1-3年,3725343
25k-45k,本科,5-10年,5153105
12k-24k,本科,3-5年,4031536
12k-18k,本科,5-10年,4727701
10k-20k,大专,1-3年,5185616
30k-45k,本科,5-10年,5152989
20k-40k,本科,3-5年,4761331
25k-50k,本科,3-5年,3834632
6k-8k,本科,应届毕业生,5181295
40k-60k,本科,5-10年,3444271
15k-30k,本科,1-3年,4518095
20k-40k,本科,3-5年,4467068
20k-35k,本科,5-10年,4319401
8k-16k,本科,不限,2655058
4k-5k,不限,应届毕业生,3018411
10k-16k,不限,1-3年,4793298
20k-30k,本科,3-5年,4827428
35k-70k,本科,5-10年,4409635
10k-15k,本科,3-5年,3962364
10k-20k,大专,3-5年,3442623
10k-20k,本科,3-5年,4974290
15k-30k,本科,1-3年,5201128
10k-20k,本科,3-5年,4323497
12k-18k,本科,1-3年,4051629
38k-70k,本科,5-10年,3927289
15k-25k,本科,3-5年,5151506
25k-30k,大专,1-3年,5052829
12k-20k,本科,5-10年,4968733
25k-35k,本科,3-5年,4838414
6k-12k,本科,1-3年,5054299
10k-20k,本科,3-5年,4212725
30k-50k,本科,3-5年,3519814
25k-50k,本科,1-3年,4674849
40k-60k,本科,5-10年,4045182
