id,薪资,学历要求,工作经验
18k-30k,本科,3-5年,4526774
25k-40k,本科,3-5年,4964164
5k-8k,本科,应届毕业生,5102239
25k-50k,本科,3-5年,5185879
6k-10k,本科,1-3年,4352011
15k-30k,本科,3-5年,4066558
12k-24k,本科,3-5年,2317272
25k-35k,本科,3-5年,5098442
25k-40k,本科,3-5年,4347615
15k-25k,本科,3-5年,3165976
20k-40k,本科,3-5年,5098417
20k-40k,本科,5-10年,5185588
15k-30k,硕士,3-5年,5012072
20k-40k,本科,1-3年,4440770
20k-40k,本科,5-10年,5163772
30k-50k,硕士,3-5年,3817780
14k-18k,本科,1-3年,4691152
15k-30k,本科,不限,4135603
20k-40k,本科,5-10年,4169914
60k-100k,本科,3-5年,4211819
15k-30k,本科,1-3年,4941465
20k-35k,本科,1-3年,4031888
20k-40k,不限,3-5年,4501497
15k-30k,本科,1-3年,3942303
10k-18k,本科,不限,5026583
15k-30k,本科,不限,4611835
25k-35k,本科,3-5年,4078498
20k-40k,本科,3-5年,2788406
20k-30k,本科,3-5年,5101001
20k-30k,本科,3-5年,4997030
25k-50k,本科,3-5年,4579137
20k-35k,本科,3-5年,4114451
15k-25k,本科,3-5年,3338208
25k-50k,本科,3-5年,3066320
15k-30k,不限,1-3年,4031827
15k-30k,本科,3-5年,4978888
20k-40k,硕士,3-5年,3757232
20k-40k,本科,3-5年,4797916
25k-45k,硕士,3-5年,4791104
25k-50k,本科,3-5年,4592965
30k-50k,硕士,1年以下,5192247
25k-35k,本科,3-5年,5155915
25k-40k,本科,1-3年,4326531
15k-30k,本科,3-5年,4826595
7k-12k,本科,3-5年,4089218
20k-40k,本科,5-10年,4113665
20k-40k,本科,1-3年,3332678
8k-15k,硕士,1-3年,1724342
25k-50k,本科,3-5年,4772617
20k-40k,本科,1-3年,3927232
20k-35k,本科,3-5年,4253323
16k-32k,本科,1-3年,4824079
10k-20k,本科,3-5年,5099593
15k-25k,硕士,3-5年,4049215
30k-40k,本科,1-3年,5103678
15k-30k,本科,3-5年,4438898
30k-60k,硕士,3-5年,5150464
15k-25k,本科,1-3年,4020406
20k-40k,本科,3-5年,5134588
23k-46k,硕士,3-5年,4567809
40k-60k,本科,3-5年,4941605
20k-40k,本科,3-5年,1823207
18k-25k,本科,1-3年,5155383
20k-40k,本科,5-10年,4181138
20k-40k,本科,3-5年,5120244
35k-60k,本科,5-10年,4287654
10k-20k,本科,1-3年,3073797
25k-45k,硕士,3-5年,4993465
20k-40k,本科,3-5年,5098733
18k-25k,本科,1-3年,5143311
15k-25k,本科,3-5年,3582811
25k-40k,本科,5-10年,3264842
15k-25k,本科,3-5年,1912970
20k-35k,本科,3-5年,5045380
15k-30k,本科,1-3年,3575805
20k-40k,本科,1-3年,4044959
18k-30k,本科,3-5年,4278240
30k-50k,本科,5-10年,3891943
15k-30k,本科,3-5年,4058441
30k-50k,本科,3-5年,5122410
20k-40k,本科,1-3年,449812
16k-32k,本科,不限,4330724
18k-35k,本科,3-5年,5181307
10k-20k,硕士,3-5年,5152364
20k-40k,本科,3-5年,4860185
38k-65k,本科,5-10年,4658204
15k-25k,本科,3-5年,3363429
25k-40k,本科,5-10年,4576955
8k-15k,本科,1-3年,4778790
11k-20k,本科,应届毕业生,5149987
30k-60k,硕士,3-5年,4156312
10k-20k,本科,3-5年,2314901
15k-25k,本科,3-5年,3656982
35k-60k,本科,3-5年,4440768
10k-15k,硕士,1-3年,4442139
30k-50k,硕士,5-10年,4553376
20k-40k,硕士,3-5年,4482034
15k-30k,本科,3-5年,4870316
25K-45K,本科,3-5年,4459328
18k-30k,大专,5-10年,4918801
20k-35k,本科,1-3年,4318059
15k-25k,本科,1-3年,4564966
20k-40k,本科,3-5年,5179834
20k-35k,本科,3-5年,4010728
15k-25k,硕士,1-3年,5006645
15k-25k,本科,1-3年,3751935
30k-50k,硕士,3-5年,4123206
20k-40k,硕士,3-5年,3549885
20k-40k,本科,1-3年,5122069
30k-40k,本科,3-5年,4858984
20k-30k,本科,3-5年,5140805
15k-25k,本科,1-3年,3409376
25k-50k,本科,5-10年,4921749
20k-40k,本科,3-5年,4100342
10k-15k,本科,应届毕业生,4936836
15k-25k,硕士,不限,5188125
20k-30k,硕士,3-5年,3228648
25k-35k,硕士,3-5年,5000065
20k-40k,本科,5-10年,5182068
20k-40k,本科,3-5年,4200020
20k-40k,不限,5-10年,5077634
15k-20k,本科,3-5年,5182712
20k-40k,本科,3-5年,4900624
25k-50k,本科,不限,3587022
30k-45k,本科,5-10年,3652639
20k-40k,硕士,5-10年,4690083
30k-40k,本科,3-5年,5116585
15k-30k,本科,3-5年,5143566
6k-10k,硕士,不限,5183952
10k-20k,大专,1-3年,4537037
40k-60k,本科,3-5年,4907551
6k-8k,硕士,应届毕业生,4600988
25k-50k,本科,3-5年,5082645
20k-30k,本科,5-10年,4706644
15k-20k,本科,1-3年,5187048
30k-50k,本科,3-5年,3654345
20k-40k,本科,5-10年,4805982
20k-40k,硕士,3-5年,5090619
20k-40k,本科,3-5年,5199449
15k-20k,本科,1-3年,5182814
20k-40k,本科,1-3年,5129980
15K-30K,本科,3-5年,4678934
15k-30k,本科,不限,5096593
15k-30k,本科,1-3年,4673011
10k-15k,本科,1-3年,4674663
10k-20k,本科,不限,5150516
8k-10k,本科,1-3年,4147672
25k-35k,硕士,3-5年,5006654
15k-25k,本科,1-3年,4951075
20k-30k,本科,3-5年,5196495
30k-60k,本科,5-10年,4965859
5k-10k,本科,1-3年,2417856
20k-40k,硕士,1-3年,4579544
20k-35k,本科,1-3年,4844417
20k-40k,本科,3-5年,2504664
15k-30k,本科,3-5年,4817708
10k-15k,本科,1-3年,4732493
15k-30k,本科,5-10年,3647720
20k-30k,硕士,3-5年,3702777
15k-25k,硕士,3-5年,5178695
35k-45k,本科,3-5年,5149212
15k-20k,本科,不限,4318842
8k-16k,本科,1-3年,3014225
20k-40k,本科,3-5年,4887246
25k-50k,本科,3-5年,4459319
18k-30k,不限,3-5年,3893534
30k-60k,本科,5-10年,4965696
35k-70k,本科,不限,4903475
25k-50k,本科,3-5年,5134566
30k-60k,本科,3-5年,3784470
20k-35k,本科,5-10年,3604462
15k-30k,本科,1-3年,3274779
25k-50k,本科,3-5年,4150935
12k-24k,本科,3-5年,4925146
3k-4k,本科,应届毕业生,4810674
15k-30k,本科,5-10年,4461693
10k-20k,本科,1-3年,2953479
20k-40k,硕士,1-3年,3274714
22k-44k,本科,1-3年,1354565
25k-40k,不限,不限,4852321
20k-35k,本科,3-5年,3942291
15k-25k,本科,3-5年,4918707
30k-60k,本科,5-10年,4405823
6k-8k,本科,不限,5136345
20k-40k,本科,3-5年,4102722
20k-35k,硕士,3-5年,4398066
25k-45k,本科,3-5年,4665534
10k-20k,本科,3-5年,4837650
10k-20k,本科,1-3年,4037560
20k-40k,本科,3-5年,4114521
20k-35k,本科,1-3年,3903086
35k-70k,硕士,3-5年,3893459
25k-45k,本科,3-5年,5066080
15k-25k,本科,3-5年,5192601
15k-30k,本科,3-5年,4990517
30k-60k,本科,5-10年,4891202
20k-40k,不限,不限,5171469
20k-30k,本科,3-5年,4799675
3k-6k,本科,不限,5177455
10k-20k,本科,3-5年,4120283
8k-15k,大专,1年以下,5161337
15k-25k,本科,3-5年,5051192
15k-25k,本科,3-5年,5168085
10k-15k,本科,1-3年,4421597
30k-60k,硕士,3-5年,4697358
40k-80k,本科,3-5年,4944883
25k-50k,本科,3-5年,3339238
20k-35k,本科,3-5年,5137752
15k-25k,本科,3-5年,4732741
25K-45K,本科,3-5年,4785547
20k-40k,本科,3-5年,4639692
3k-6k,本科,不限,5094280
30k-50k,不限,5-10年,5126136
20k-40k,本科,1-3年,3587023
20k-40k,本科,1-3年,3948326
25k-50k,本科,3-5年,3317990
15k-30k,不限,3-5年,4432443
30k-60k,本科,3-5年,4936575
25k-50k,本科,3-5年,5161100
20k-35k,本科,不限,5197625
20k-35k,本科,5-10年,4907352
20k-40k,本科,3-5年,2484825
15K-25K,本科,5-10年,4408476
